name,type,start_time,duration,data,error
Prototype,data,0.1379871,0.0009895,1,
Prototype,data,0.1390285,0.0009895,3,
Prototype,data,0.1400698,0.0009895,2,
Prototype,data,0.1411111,0.0009895,"
",
Prototype,data,0.1421524,0.0009895,1,
Prototype,data,0.1431937,0.0009895,3,
Prototype,data,0.144235,0.0009895,0,
Prototype,data,0.1452764,0.0009895,",",
Prototype,data,0.1463177,0.0009895,1,
Prototype,data,0.147359,0.0009895,3,
Prototype,data,0.1484003,0.0009895,2,
Prototype,data,0.1494416,0.0009895,"
",
Capnostat,data,0.1503007,0.0009895,4,
Prototype,data,0.1504829,0.0009895,1,
Capnostat,data,0.1514464,0.0009895,0,
Prototype,data,0.1515242,0.0009895,2,
Prototype,data,0.1525656,0.0009895,8,
Prototype,data,0.1536069,0.0009895,",",
Prototype,data,0.1546482,0.0009895,1,
Prototype,data,0.1556895,0.0009895,3,
Prototype,data,0.1567308,0.0009895,2,
Prototype,data,0.1577721,0.0009895,"
",
Prototype,data,0.1588134,0.0009895,1,
Prototype,data,0.1598548,0.0009895,3,
Prototype,data,0.1608961,0.0009895,0,
Prototype,data,0.1619374,0.0009895,",",
Prototype,data,0.1629787,0.0009895,1,
Prototype,data,0.16402,0.0009895,3,
Prototype,data,0.1650613,0.0009895,1,
Prototype,data,0.1661027,0.0009895,"
",
Prototype,data,0.167144,0.0009895,1,
Prototype,data,0.1681853,0.0009895,2,
Prototype,data,0.1692266,0.0009895,7,
Prototype,data,0.1702679,0.0009895,",",
Prototype,data,0.1713092,0.0009895,1,
Prototype,data,0.1723505,0.0009895,3,
Capnostat,data,0.1733389,0.0009895,4,
Prototype,data,0.1733919,0.0009895,1,
Prototype,data,0.1744332,0.0009895,"
",
Capnostat,data,0.1744846,0.0009895,0,
Prototype,data,0.1754745,0.0009895,1,
Prototype,data,0.1765158,0.0009895,3,
Prototype,data,0.1775571,0.0009895,0,
Prototype,data,0.1785984,0.0009895,",",
Prototype,data,0.1796398,0.0009895,1,
Prototype,data,0.1806811,0.0009895,3,
Prototype,data,0.1817224,0.0009895,1,
Prototype,data,0.1827637,0.0009895,"
",
Prototype,data,0.183805,0.0009895,1,
Prototype,data,0.1848463,0.0009895,2,
Prototype,data,0.1858877,0.0009895,8,
Prototype,data,0.186929,0.0009895,",",
Prototype,data,0.1879703,0.0009895,1,
Prototype,data,0.1890116,0.0009895,3,
Prototype,data,0.1900529,0.0009895,2,
Prototype,data,0.1910942,0.0009895,"
",
Prototype,data,0.1921355,0.0009895,1,
Prototype,data,0.1931769,0.0009895,3,
Prototype,data,0.1942182,0.0009895,0,
Prototype,data,0.1952595,0.0009895,",",
Capnostat,data,0.1962793,0.0009895,4,
Prototype,data,0.1963008,0.0009895,1,
Prototype,data,0.1973421,0.0009895,3,
Capnostat,data,0.1974251,0.0009895,0,
Prototype,data,0.1983834,0.0009895,2,
Prototype,data,0.1994248,0.0009895,"
",
Prototype,data,0.2004661,0.0009895,1,
Prototype,data,0.2015074,0.0009895,2,
Prototype,data,0.2025487,0.0009895,8,
Prototype,data,0.20359,0.0009895,",",
Prototype,data,0.2046313,0.0009895,1,
Prototype,data,0.2056726,0.0009895,3,
Prototype,data,0.206714,0.0009895,1,
Prototype,data,0.2077553,0.0009895,"
",
Prototype,data,0.2087966,0.0009895,1,
Prototype,data,0.2098379,0.0009895,3,
Prototype,data,0.2108792,0.0009895,0,
Prototype,data,0.2119205,0.0009895,",",
Prototype,data,0.2129619,0.0009895,1,
Prototype,data,0.2140032,0.0009895,3,
Prototype,data,0.2150445,0.0009895,1,
Prototype,data,0.2160858,0.0009895,"
",
Prototype,data,0.2171271,0.0009895,1,
Prototype,data,0.2181684,0.0009895,2,
Capnostat,data,0.2191352,0.0009895,4,
Prototype,data,0.2192098,0.0009895,8,
Prototype,data,0.2202511,0.0009895,",",
Capnostat,data,0.2202809,0.0009895,0,
Prototype,data,0.2212924,0.0009895,1,
Prototype,data,0.2223337,0.0009895,3,
Prototype,data,0.223375,0.0009895,1,
Prototype,data,0.2244163,0.0009895,"
",
Prototype,data,0.2254576,0.0009895,1,
Prototype,data,0.226499,0.0009895,2,
Prototype,data,0.2275403,0.0009895,9,
Prototype,data,0.2285816,0.0009895,",",
Prototype,data,0.2296229,0.0009895,1,
Prototype,data,0.2306642,0.0009895,3,
Prototype,data,0.2317055,0.0009895,1,
Prototype,data,0.2327469,0.0009895,"
",
Prototype,data,0.2337882,0.0009895,1,
Prototype,data,0.2348295,0.0009895,2,
Prototype,data,0.2358708,0.0009895,7,
Prototype,data,0.2369121,0.0009895,",",
Prototype,data,0.2379534,0.0009895,1,
Prototype,data,0.2389947,0.0009895,3,
Prototype,data,0.2400361,0.0009895,1,
